Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT
0,NWE,2018,2019-02-03,6:30,,N,LOS,21,19,Sun,W 13-3,
1,PHI,2017,2018-02-04,6:30,,N,NWE,21,19,Sun,W 41-33,
2,NWE,2016,2017-02-05,6:30,5:30,N,ATL,21,19,Sun,W 34-28,OT
3,DEN,2015,2016-02-07,6:39,3:39,N,CAR,21,19,Sun,W 24-10,
4,NWE,2014,2015-02-01,6:30,4:30,N,SEA,21,19,Sun,W 28-24,
5,SEA,2013,2014-02-02,6:32,6:32,N,DEN,21,19,Sun,W 43-8,
6,BAL,2012,2013-02-03,6:31,5:31,N,SFO,21,20,Sun,W 34-31,
7,NYG,2011,2012-02-05,6:30,6:30,N,NWE,21,20,Sun,W 21-17,
8,GNB,2010,2011-02-06,6:34,5:34,N,PIT,21,20,Sun,W 31-25,
9,NOR,2009,2010-02-07,6:31,6:31,N,IND,21,19,Sun,W 31-17,
10,PIT,2008,2009-02-01,6:31,6:31,N,ARI,21,19,Sun,W 27-23,
11,NYG,2007,2008-02-03,6:30,4:30,N,NWE,21,20,Sun,W 17-14,
12,IND,2006,2007-02-04,6:27,6:27,N,CHI,21,20,Sun,W 29-17,
13,PIT,2005,2006-02-05,6:27,6:27,N,SEA,21,20,Sun,W 21-10,
14,NWE,2004,2005-02-06,6:38,6:38,N,PHI,21,19,Sun,W 24-21,
15,NWE,2003,2004-02-01,6:25,5:25,N,CAR,21,19,Sun,W 32-29,
16,TAM,2002,2003-01-26,6:26,3:26,N,OAK,20,19,Sun,W 48-21,
17,NWE,2001,2002-02-03,6:40,5:40,N,STL,20,19,Sun,W 20-17,
18,BAL,2000,2001-01-28,6:28,6:28,N,NYG,21,20,Sun,W 34-7,
19,STL,1999,2000-01-30,6:25,6:25,N,TEN,20,19,Sun,W 23-16,
20,DEN,1998,1999-01-31,6:30,6:30,N,ATL,21,19,Sun,W 34-19,
21,DEN,1997,1998-01-25,6:30,3:30,N,GNB,21,20,Sun,W 31-24,
22,GNB,1996,1997-01-26,6:30,5:30,N,NWE,21,19,Sun,W 35-21,
23,DAL,1995,1996-01-28,6:33,4:33,N,PIT,21,19,Sun,W 27-17,
24,SFO,1994,1995-01-29,6:00,6:00,N,SDG,21,19,Sun,W 49-26,
25,DAL,1993,1994-01-30,6:00,6:00,N,BUF,21,19,Sun,W 30-13,
26,DAL,1992,1993-01-31,6:30,3:30,N,BUF,21,19,Sun,W 52-17,
27,WAS,1991,1992-01-26,6:30,5:30,N,BUF,21,19,Sun,W 37-24,
28,NYG,1990,1991-01-27,5:30,5:30,N,BUF,20,19,Sun,W 20-19,
29,SFO,1989,1990-01-28,5:00,4:00,N,DEN,20,19,Sun,W 55-10,
30,SFO,1988,1989-01-22,5:00,5:00,N,CIN,20,19,Sun,W 20-16,
31,WAS,1987,1988-01-31,6:00,3:00,N,DEN,19,18,Sun,W 42-10,
32,NYG,1986,1987-01-25,4:00,1:00,N,DEN,20,19,Sun,W 39-20,
33,CHI,1985,1986-01-26,5:00,4:00,N,NWE,20,19,Sun,W 46-10,
34,SFO,1984,1985-01-20,6:00,3:00,N,MIA,20,19,Sun,W 38-16,
35,RAI,1983,1984-01-22,4:50,4:50,N,WAS,20,19,Sun,W 38-9,
36,WAS,1982,1983-01-30,6:00,3:00,N,MIA,20,13,Sun,W 27-17,
37,SFO,1981,1982-01-24,4:00,4:00,N,CIN,19,19,Sun,W 26-21,
38,OAK,1980,1981-01-25,6:00,5:00,N,PHI,20,20,Sun,W 27-10,
39,PIT,1979,1980-01-20,6:00,3:00,N,RAM,20,19,Sun,W 31-19,
40,PIT,1978,1979-01-21,4:00,4:00,N,DAL,20,19,Sun,W 35-31,
41,DAL,1977,1978-01-15,6:00,5:00,N,DEN,17,17,Sun,W 27-10,
42,OAK,1976,1977-01-09,3:50,12:50,N,MIN,16,17,Sun,W 32-14,
43,PIT,1975,1976-01-18,2:00,2:00,N,DAL,17,17,Sun,W 21-17,
44,PIT,1974,1975-01-12,3:00,2:00,N,MIN,17,17,Sun,W 16-6,
45,MIA,1973,1974-01-13,3:50,2:50,N,MIN,17,17,Sun,W 24-7,
46,MIA,1972,1973-01-14,3:50,12:50,N,WAS,17,17,Sun,W 14-7,
47,DAL,1971,1972-01-16,2:50,1:50,N,MIA,17,17,Sun,W 24-3,
48,BAL,1970,1971-01-17,1:50,1:50,N,DAL,16,17,Sun,W 16-13,
49,KAN,1969,1970-01-11,,,N,MIN,18,19,Sun,W 23-7,
50,NYJ,1968,1969-01-12,,,N,BAL,18,18,Sun,W 16-7,
51,GNB,1967,1968-01-14,,,N,OAK,17,17,Sun,W 33-14,
52,GNB,1966,1967-01-15,,,N,KAN,18,16,Sun,W 35-10,
